vertices
0.000000, 0.000000, -150.000000
150.000000, 0.000000, 150.000000
142.658477, 46.352549, 150.000000
121.352549, 88.167788, 150.000000
88.167788, 121.352549, 150.000000
46.352549, 142.658477, 150.000000
0.000000, 150.000000, 150.000000
-46.352549, 142.658477, 150.000000
-88.167788, 121.352549, 150.000000
-121.352549, 88.167788, 150.000000
-142.658477, 46.352549, 150.000000
-150.000000, 0.000000, 150.000000
-142.658477, -46.352549, 150.000000
-121.352549, -88.167788, 150.000000
-88.167788, -121.352549, 150.000000
-46.352549, -142.658477, 150.000000
-0.000000, -150.000000, 150.000000
46.352549, -142.658477, 150.000000
88.167788, -121.352549, 150.000000
121.352549, -88.167788, 150.000000
142.658477, -46.352549, 150.000000
faces
0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19
0, 1, 1
0, 2, 1
0, 3, 1
0, 4, 1
0, 5, 1
0, 6, 1
0, 7, 1
0, 8, 1
0, 9, 1
0, 10, 1
0, 11, 1
0, 12, 1
0, 13, 1
0, 14, 1
0, 15, 1
0, 16, 1
0, 17, 1
0, 18, 1
0, 19, 1
